uid,rq_index,rq_text,step_1_label,step_1_url,step_1_purpose,step_2_label,step_2_url,step_2_purpose,step_3_label,step_3_url,step_3_tag,step_3_purpose,completion_goal,path_rule_version
U0,1,"When identity judgment is separated into ""observation matching"" and ""intervention response matching"", which one should be regarded as a necessary or sufficient condition?",Step1: Start with required item 1,https://doi.org/10.1017/9781009486309.002,Understand the main framework of the target RQ,"Step2: Next, required item 2",https://doi.org/10.2139/ssrn.4560723,Supplement the comparison and verification conditions,"Step3: Finally, supplementary item 1",https://doi.org/10.1007/s11229-024-04744-3,experiment,Strengthen the boundary conditions and comparison results,Strengthen the experimental basis and confirm the falsification conditions,round17-v1
U0,2,"How to fix the correspondence between time synchronization (in ms) and state expression (behavior, neural activity, physiology).",Step1: Start with required item 1,https://doi.org/10.1017/9781009486309.002,Understand the main framework of the target RQ,"Step2: Next, required item 2",https://doi.org/10.2139/ssrn.4560723,Supplement the comparison and verification conditions,"Step3: Finally, supplementary item 1",https://doi.org/10.1007/s11229-024-04744-3,experiment,Strengthen the boundary conditions and comparison results,Strengthen the experimental basis and confirm the falsification conditions,round17-v1
U0,3,How to set the threshold for identity judgment for each task and how to exclude overfitting models.,Step1: Start with required item 1,https://doi.org/10.1017/9781009486309.002,Understand the main framework of the target RQ,"Step2: Next, required item 2",https://doi.org/10.2139/ssrn.4560723,Supplement the comparison and verification conditions,"Step3: Finally, supplementary item 1",https://doi.org/10.1007/s11229-024-04744-3,experiment,Strengthen the boundary conditions and comparison results,Strengthen the experimental basis and confirm the falsification conditions,round17-v1
U0,4,"Which evaluation axis should be used to determine the definition of ""same individual"" in the case of divergence/duplication?",Step1: Start with required item 1,https://doi.org/10.1017/9781009486309.002,Understand the main framework of the target RQ,"Step2: Next, required item 2",https://doi.org/10.2139/ssrn.4560723,Supplement the comparison and verification conditions,"Step3: Finally, supplementary item 1",https://doi.org/10.1007/s11229-024-04744-3,experiment,Strengthen the boundary conditions and comparison results,Strengthen the experimental basis and confirm the falsification conditions,round17-v1
U1,1,Which prior distribution should be used to control ill-posedness in EEG/MEG inverse problems?,Step1: Start with required item 1,https://doi.org/10.1109/JSEN.2024.3502917,Understand the main framework of the target RQ,"Step2: Next, required item 2",https://doi.org/10.1088/1361-6420/acf9c6,Supplement the comparison and verification conditions,"Step3: Finally, supplementary item 1",https://doi.org/10.1088/2057-1976/aca20b,experiment,Strengthen the boundary conditions and comparison results,Strengthen the experimental basis and confirm the falsification conditions,round17-v1
U1,2,"How to propagate uncertainties in cranial conductivity, electrode placement, and noise structure to estimated uncertainties.",Step1: Start with required item 1,https://doi.org/10.1109/JSEN.2024.3502917,Understand the main framework of the target RQ,"Step2: Next, required item 2",https://doi.org/10.1088/1361-6420/acf9c6,Supplement the comparison and verification conditions,"Step3: Finally, supplementary item 1",https://doi.org/10.1088/2057-1976/aca20b,experiment,Strengthen the boundary conditions and comparison results,Strengthen the experimental basis and confirm the falsification conditions,round17-v1
U1,3,"How to set the decision rule when different inverse solution methods (MNE, beamformer, Champagne, etc.) differ for the same data.",Step1: Start with required item 1,https://doi.org/10.1109/JSEN.2024.3502917,Understand the main framework of the target RQ,"Step2: Next, required item 2",https://doi.org/10.1088/1361-6420/acf9c6,Supplement the comparison and verification conditions,"Step3: Finally, supplementary item 1",https://doi.org/10.1088/2057-1976/aca20b,experiment,Strengthen the boundary conditions and comparison results,Strengthen the experimental basis and confirm the falsification conditions,round17-v1
U1,4,Should the publication criteria include confidence intervals/backward distributions in addition to estimates?,Step1: Start with required item 1,https://doi.org/10.1109/JSEN.2024.3502917,Understand the main framework of the target RQ,"Step2: Next, required item 2",https://doi.org/10.1088/1361-6420/acf9c6,Supplement the comparison and verification conditions,"Step3: Finally, supplementary item 1",https://doi.org/10.1088/2057-1976/aca20b,experiment,Strengthen the boundary conditions and comparison results,Strengthen the experimental basis and confirm the falsification conditions,round17-v1
U3,1,How can we measure the predictive improvement when adding glial/humoral regulation to a neuron-centered model?,Step1: Start with required item 1,https://www.nature.com/articles/s41586-023-06808-9,Understand the main framework of the target RQ,"Step2: Next, required item 2",https://pubmed.ncbi.nlm.nih.gov/39902809/,Supplement the comparison and verification conditions,"Step3: Finally, supplementary item 1",https://pubmed.ncbi.nlm.nih.gov/38762094/,experiment,Strengthen the boundary conditions and comparison results,Strengthen the experimental basis and confirm the falsification conditions,round17-v1
U3,2,How can we compare the relationship between connectome completeness and functional prediction performance across species?,Step1: Start with required item 1,https://www.nature.com/articles/s41586-023-06808-9,Understand the main framework of the target RQ,"Step2: Next, required item 2",https://pubmed.ncbi.nlm.nih.gov/39902809/,Supplement the comparison and verification conditions,"Step3: Finally, supplementary item 1",https://pubmed.ncbi.nlm.nih.gov/38762094/,experiment,Strengthen the boundary conditions and comparison results,Strengthen the experimental basis and confirm the falsification conditions,round17-v1
