uid,rq_index,rq_text,external_dependency_task,owner,prerequisite,done_criteria,blocked_repo_action,source_round26_decision,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,Actual browser confirmation (continuous observation),Research operator,The URL must be accessible via browser the next time monitoring is performed.,"Confirm that 2xx is maintained and there are no differences in the text, and add the time to the log.",None (this time it can be carried out on a deferred basis),rq_regulation_question_decision_round26_2026-03-01.csv,2026-03-01T14:43:35Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",Actual browser confirmation (continuous observation),Research operator,The URL must be accessible via browser the next time monitoring is performed.,"Confirm that 2xx is maintained and there are no differences in the text, and add the time to the log.",None (this time it can be carried out on a deferred basis),rq_regulation_question_decision_round26_2026-03-01.csv,2026-03-01T14:43:35Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,Actual browser confirmation (continuous observation),Research operator,The URL must be accessible via browser the next time monitoring is performed.,"Confirm that 2xx is maintained and there are no differences in the text, and add the time to the log.",None (this time it can be carried out on a deferred basis),rq_regulation_question_decision_round26_2026-03-01.csv,2026-03-01T14:43:35Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,Actual browser confirmation (continuous observation),Research operator,The URL must be accessible via browser the next time monitoring is performed.,"Confirm that 2xx is maintained and there are no differences in the text, and add the time to the log.",None (this time it can be carried out on a deferred basis),rq_regulation_question_decision_round26_2026-03-01.csv,2026-03-01T14:43:35Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",Actual browser confirmation (continuous observation),Research operator,The URL must be accessible via browser the next time monitoring is performed.,"Confirm that 2xx is maintained and there are no differences in the text, and add the time to the log.",None (this time it can be carried out on a deferred basis),rq_regulation_question_decision_round26_2026-03-01.csv,2026-03-01T14:43:35Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",Actual browser confirmation (continuous observation),Research operator,The URL must be accessible via browser the next time monitoring is performed.,"Confirm that 2xx is maintained and there are no differences in the text, and add the time to the log.",None (this time it can be carried out on a deferred basis),rq_regulation_question_decision_round26_2026-03-01.csv,2026-03-01T14:43:35Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",Check the browser only when necessary,Research operator,Executed only when detecting CLI differences,Record the clause heading and revision date of the difference.,none,rq_regulation_question_decision_round26_2026-03-01.csv,2026-03-01T14:43:35Z
U15,2,How should neurorights be mapped onto technical audit items?,Check the browser only when necessary,Research operator,Executed only when detecting CLI differences,Record the clause heading and revision date of the difference.,none,rq_regulation_question_decision_round26_2026-03-01.csv,2026-03-01T14:43:35Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",Check the browser only when necessary,Research operator,Executed only when detecting CLI differences,Record the clause heading and revision date of the difference.,none,rq_regulation_question_decision_round26_2026-03-01.csv,2026-03-01T14:43:35Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,Check the browser only when necessary,Research operator,Executed only when detecting CLI differences,Record the clause heading and revision date of the difference.,none,rq_regulation_question_decision_round26_2026-03-01.csv,2026-03-01T14:43:35Z
