uid,rq_index,rq_text,old_url,new_url,applied_in_file,applied_scope,applied_at_utc,basis_round21,basis_round22
U12,1,On what basis should identifiers be assigned to post-branch entities?,https://doi.org/10.1016/j.patter.2023.100861,https://linkinghub.elsevier.com/retrieve/pii/S2666389923002453,research_harvest_50.md,U12 section major references,2026-03-01T14:28:28Z,rq_regulation_link_diff_round21_2026-03-01.csv,rq_regulation_content_update_template_round22_2026-03-01.csv
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",https://doi.org/10.1016/j.patter.2023.100861,https://linkinghub.elsevier.com/retrieve/pii/S2666389923002453,research_harvest_50.md,U12 section major references,2026-03-01T14:28:28Z,rq_regulation_link_diff_round21_2026-03-01.csv,rq_regulation_content_update_template_round22_2026-03-01.csv
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,https://doi.org/10.1016/j.patter.2023.100861,https://linkinghub.elsevier.com/retrieve/pii/S2666389923002453,research_harvest_50.md,U12 section major references,2026-03-01T14:28:28Z,rq_regulation_link_diff_round21_2026-03-01.csv,rq_regulation_content_update_template_round22_2026-03-01.csv
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,https://doi.org/10.1016/j.patter.2023.100861,https://linkinghub.elsevier.com/retrieve/pii/S2666389923002453,research_harvest_50.md,U12 section major references,2026-03-01T14:28:28Z,rq_regulation_link_diff_round21_2026-03-01.csv,rq_regulation_content_update_template_round22_2026-03-01.csv
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",https://doi.org/10.1016/j.patter.2023.100861,https://linkinghub.elsevier.com/retrieve/pii/S2666389923002453,research_harvest_50.md,U12 section major references,2026-03-01T14:28:28Z,rq_regulation_link_diff_round21_2026-03-01.csv,rq_regulation_content_update_template_round22_2026-03-01.csv
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",https://doi.org/10.1016/j.patter.2023.100861,https://linkinghub.elsevier.com/retrieve/pii/S2666389923002453,research_harvest_50.md,U12 section major references,2026-03-01T14:28:28Z,rq_regulation_link_diff_round21_2026-03-01.csv,rq_regulation_content_update_template_round22_2026-03-01.csv
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",https://oecd.ai/ai-principles/,https://oecd.ai/en/ai-principles/,research_harvest_50.md,U15 section major references,2026-03-01T14:28:28Z,rq_regulation_link_diff_round21_2026-03-01.csv,rq_regulation_content_update_template_round22_2026-03-01.csv
U15,2,How should neurorights be mapped onto technical audit items?,https://oecd.ai/ai-principles/,https://oecd.ai/en/ai-principles/,research_harvest_50.md,U15 section major references,2026-03-01T14:28:28Z,rq_regulation_link_diff_round21_2026-03-01.csv,rq_regulation_content_update_template_round22_2026-03-01.csv
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",https://oecd.ai/ai-principles/,https://oecd.ai/en/ai-principles/,research_harvest_50.md,U15 section major references,2026-03-01T14:28:28Z,rq_regulation_link_diff_round21_2026-03-01.csv,rq_regulation_content_update_template_round22_2026-03-01.csv
U15,4,How should stop conditions and update conditions be governed as technology evolves?,https://oecd.ai/ai-principles/,https://oecd.ai/en/ai-principles/,research_harvest_50.md,U15 section major references,2026-03-01T14:28:28Z,rq_regulation_link_diff_round21_2026-03-01.csv,rq_regulation_content_update_template_round22_2026-03-01.csv
