uid,rq_index,old_supplementary_1,new_supplementary_1,reason,evidence
U7,1,https://arxiv.org/abs/2311.04912,https://doi.org/10.1162/imag.a.136,"Due to grade B (preprint type) judgment in Round 13, replaced with peer review/specification type",research_deepening_round13_2026-03-01.md#supplementary-audit
U7,2,https://arxiv.org/abs/2311.04912,https://doi.org/10.1162/imag.a.136,"Due to grade B (preprint type) judgment in Round 13, replaced with peer review/specification type",research_deepening_round13_2026-03-01.md#supplementary-audit
U7,3,https://arxiv.org/abs/2311.04912,https://doi.org/10.1162/imag.a.136,"Due to grade B (preprint type) judgment in Round 13, replaced with peer review/specification type",research_deepening_round13_2026-03-01.md#supplementary-audit
U7,4,https://arxiv.org/abs/2311.04912,https://doi.org/10.1162/imag.a.136,"Due to grade B (preprint type) judgment in Round 13, replaced with peer review/specification type",research_deepening_round13_2026-03-01.md#supplementary-audit
U7,5,https://arxiv.org/abs/2311.04912,https://doi.org/10.1162/imag.a.136,"Due to grade B (preprint type) judgment in Round 13, replaced with peer review/specification type",research_deepening_round13_2026-03-01.md#supplementary-audit
U7,6,https://arxiv.org/abs/2311.04912,https://doi.org/10.1162/imag.a.136,"Due to grade B (preprint type) judgment in Round 13, replaced with peer review/specification type",research_deepening_round13_2026-03-01.md#supplementary-audit
U10,1,https://arxiv.org/abs/2502.03603,https://doi.org/10.1016/j.tics.2024.03.009,"Due to grade B (preprint type) judgment in Round 13, replaced with peer review/specification type",research_deepening_round13_2026-03-01.md#supplementary-audit
U10,2,https://arxiv.org/abs/2502.03603,https://doi.org/10.1016/j.tics.2024.03.009,"Due to grade B (preprint type) judgment in Round 13, replaced with peer review/specification type",research_deepening_round13_2026-03-01.md#supplementary-audit
U10,3,https://arxiv.org/abs/2502.03603,https://doi.org/10.1016/j.tics.2024.03.009,"Due to grade B (preprint type) judgment in Round 13, replaced with peer review/specification type",research_deepening_round13_2026-03-01.md#supplementary-audit
U10,4,https://arxiv.org/abs/2502.03603,https://doi.org/10.1016/j.tics.2024.03.009,"Due to grade B (preprint type) judgment in Round 13, replaced with peer review/specification type",research_deepening_round13_2026-03-01.md#supplementary-audit
U14,1,https://arxiv.org/abs/2311.04912,https://zenodo.org/records/18201723,"Due to grade B (preprint type) judgment in Round 13, replaced with peer review/specification type",research_deepening_round13_2026-03-01.md#supplementary-audit
U14,2,https://arxiv.org/abs/2311.04912,https://zenodo.org/records/18201723,"Due to grade B (preprint type) judgment in Round 13, replaced with peer review/specification type",research_deepening_round13_2026-03-01.md#supplementary-audit
U14,3,https://arxiv.org/abs/2311.04912,https://zenodo.org/records/18201723,"Due to grade B (preprint type) judgment in Round 13, replaced with peer review/specification type",research_deepening_round13_2026-03-01.md#supplementary-audit
U14,4,https://arxiv.org/abs/2311.04912,https://zenodo.org/records/18201723,"Due to grade B (preprint type) judgment in Round 13, replaced with peer review/specification type",research_deepening_round13_2026-03-01.md#supplementary-audit
U14,5,https://arxiv.org/abs/2311.04912,https://zenodo.org/records/18201723,"Due to grade B (preprint type) judgment in Round 13, replaced with peer review/specification type",research_deepening_round13_2026-03-01.md#supplementary-audit
U14,6,https://arxiv.org/abs/2311.04912,https://zenodo.org/records/18201723,"Due to grade B (preprint type) judgment in Round 13, replaced with peer review/specification type",research_deepening_round13_2026-03-01.md#supplementary-audit
