uid,rq_index,rq_text,round5_status,round5_added_sources,round5_takeaway,next_internal_change,external_dependency
U10,1,How to apply/interpret the Landauer lower bound in neural computation.,done,https://doi.org/10.3390/e26090779 | https://arxiv.org/abs/2502.03603,Landauer lower bound and measured cost need to be treated separately.,Add thermodynamics KPI definition table to glossary.md,"Person in charge: Physical experiment team, Prerequisite: Metabolic measurement environment, Completion condition: Lower limit verification report in actual measurement"
U10,2,How to define the correspondence between nonequilibrium thermodynamic index and neural information processing efficiency.,done,https://doi.org/10.1103/PhysRevE.107.024121 | https://doi.org/10.1016/j.tics.2024.03.009,"There is a correlation between the dissipation index and the level of consciousness, but the cause and effect is undetermined.",Add thermodynamics KPI definition table to glossary.md,"Person in charge: Physical experiment team, Prerequisite: Metabolic measurement environment, Completion condition: Lower limit verification report in actual measurement"
U10,3,How can we create an observation design that translates theoretical formulas into actual data (neural activity/metabolism)?,done,https://doi.org/10.1016/j.neubiorev.2023.105070 | https://doi.org/10.3390/e26090779,Simultaneous measurement of neural activity and metabolism is the key to observation design.,Add thermodynamics KPI definition table to glossary.md,"Person in charge: Physical experiment team, Prerequisite: Metabolic measurement environment, Completion condition: Lower limit verification report in actual measurement"
U10,4,How to integrate thermodynamic constraints into WBE calculation cost evaluation.,done,https://doi.org/10.3390/e26090779 | https://arxiv.org/abs/2502.03603,WBE cost requires two-layer management of calculation cost and thermal cost.,Add thermodynamics KPI definition table to glossary.md,"Person in charge: Physical experiment team, Prerequisite: Metabolic measurement environment, Completion condition: Lower limit verification report in actual measurement"
U11,1,How do we define input/output specifications that are comparable between theories?,done,https://doi.org/10.1038/s41586-025-08888-1 | https://doi.org/10.1371/journal.pone.0268577,Theoretical comparisons cannot be made unless the common input specifications are fixed.,Added input specification template for theoretical comparison to verification.md,"Person in charge: Consciousness Research WG, Prerequisites: Pre-registration, Completion conditions: Publication of the same-condition comparison results of competing theories"
U11,2,How to deal with computational complexity constraints for PCI and IIT approximate calculations.,done,https://doi.org/10.1093/nc/niad016 | https://doi.org/10.3390/e25020334,It is dangerous to operate without specifying the validity range of approximate calculations.,Added input specification template for theoretical comparison to verification.md,"Person in charge: Consciousness Research WG, Prerequisites: Pre-registration, Completion conditions: Publication of the same-condition comparison results of competing theories"
U11,3,How can we reduce the conflicting points of theoretical predictions to a single experimental design?,done,https://doi.org/10.1038/s41586-025-08888-1 | https://doi.org/10.1371/journal.pone.0268577,Pre-fixation of conflict predictions reduces interpretation bias.,Added input specification template for theoretical comparison to verification.md,"Person in charge: Consciousness Research WG, Prerequisites: Pre-registration, Completion conditions: Publication of the same-condition comparison results of competing theories"
U11,4,How to clarify failure conditions when using awareness indicators in clinical/research settings.,done,https://doi.org/10.1186/s12984-024-01455-1 | https://doi.org/10.1016/j.neuron.2024.03.002,False positives/false negatives need to be defined first.,Added input specification template for theoretical comparison to verification.md,"Person in charge: Consciousness Research WG, Prerequisites: Pre-registration, Completion conditions: Publication of the same-condition comparison results of competing theories"
U12,1,On what basis should identifiers be assigned to post-branch entities?,done,https://doi.org/10.1016/j.patter.2023.100861 | https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,Subject ID should be designed in conjunction with liability traceability.,Add branch identity audit data item to issue.md,"Person in charge: Legal/Governance WG, Prerequisite: Jurisdictional arrangement, Completion condition: Publication of Operating Terms v1"
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",done,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng | https://book.coe.int/en/texts-of-council-of-europe-treaties/12225-council-of-europe-framework-convention-on-artificial-intelligence-and-human-rights-democracy-and-the-rule-of-law-cets-no-225.html,It is necessary to fix the point of inheritance of rights and responsibilities as a legal event.,Add branch identity audit data item to issue.md,"Person in charge: Legal/Governance WG, Prerequisite: Jurisdictional arrangement, Completion condition: Publication of Operating Terms v1"
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,done,https://doi.org/10.1111/bioe.70045 | https://doi.org/10.1007/s00146-025-02796-8,An arbitration route is necessary when there is a discrepancy between psychological standards and legal standards.,Add branch identity audit data item to issue.md,"Person in charge: Legal/Governance WG, Prerequisite: Jurisdictional arrangement, Completion condition: Publication of Operating Terms v1"
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,done,https://doi.org/10.1016/j.patter.2023.100861 | https://www.iso.org/standard/42001,Two systems of management are required: performance KPI and attribution KPI.,Add branch identity audit data item to issue.md,"Person in charge: Legal/Governance WG, Prerequisite: Jurisdictional arrangement, Completion condition: Publication of Operating Terms v1"
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",done,https://doi.org/10.1007/s00146-025-02796-8 | https://oecd.ai/en/ai-principles,ID reorganization rules for memory resynchronization must be determined in advance.,Add branch identity audit data item to issue.md,"Person in charge: Legal/Governance WG, Prerequisite: Jurisdictional arrangement, Completion condition: Publication of Operating Terms v1"
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",done,https://doi.org/10.6028/NIST.AI.600-1 | https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,Measuring delays and residual authority is essential for auditing consent withdrawal.,Add branch identity audit data item to issue.md,"Person in charge: Legal/Governance WG, Prerequisite: Jurisdictional arrangement, Completion condition: Publication of Operating Terms v1"
