uid,rq_index,rq_text,focus_note_plain,must_read_1,must_read_2,supplementary_1,metric_candidates,repository_followup,this_round_action,external_dependency_task,evidence_confidence,source_round_doc
U3,1,How can we measure the predictive improvement when adding glial/humoral regulation to a neuron-centered model?,"We have reached the stage where the effect of adding glia is not determined by whether it exists or not, but by the amount of effect for each task.",https://pubmed.ncbi.nlm.nih.gov/39902809/,https://pubmed.ncbi.nlm.nih.gov/40280131/,,Prediction improvement rate (ΔR2); extrapolation performance; component ablation loss,Add element addition ablation plan to datasets.md,"""ΔR2/ΔAUC"" will be added to U3 as a required effect amount.",Person in charge: Experimental team. Premise: Procedure for reproducing the glial operating system. Completion condition: Publication of comparison with effect size.,"Medium (high structural data, ununiformed functional connectivity)",research_deepening_round2_2026-03-01.md#u3
U3,2,How can we compare the relationship between connectome completeness and functional prediction performance across species?,"Although progress is being made in increasing the resolution of structural maps, the scale for functional comparison across species has not yet been unified.",https://www.nature.com/articles/s41586-023-06808-9,https://pubmed.ncbi.nlm.nih.gov/40703192/,,Prediction improvement rate (ΔR2); extrapolation performance; component ablation loss,Add element addition ablation plan to datasets.md,We will create a proposal for the minimum common index (prediction performance/generalization error) for cross-species comparisons.,In charge: Comparative Neurology Team. Prerequisite: Interspecific data preparation. Completion condition: Publication of comparison table using common indicators.,"Medium (high structural data, ununiformed functional connectivity)",research_deepening_round2_2026-03-01.md#u3
U3,3,How can we quantify the functions lost in a model in which the body-environment coupling is removed?,There is an increasing number of cases in which the explanatory power of metabolic and behavioral stability decreases when the body-environment loop is removed.,https://pubmed.ncbi.nlm.nih.gov/39163862/,https://pubmed.ncbi.nlm.nih.gov/39172838/,,Prediction improvement rate (ΔR2); extrapolation performance; component ablation loss,Add element addition ablation plan to datasets.md,Add metabolic indicators (glucose/lactate related) to U3 as auxiliary indicators.,Person in charge: Experimental team. Prerequisites: Metabolic measurement environment. Completion condition: Correlation evaluation with behavioral indicators.,"Medium (high structural data, ununiformed functional connectivity)",research_deepening_round2_2026-03-01.md#u3
U3,4,How can the determination of the ``minimum required configuration'' be determined based on data rather than theoretical assertions?,"The ""minimum required configuration"" should not be determined based on a single theory, but rather should be determined based on the performance degradation caused by ablation.",https://pubmed.ncbi.nlm.nih.gov/38448582/,https://pubmed.ncbi.nlm.nih.gov/39048816/,,Prediction improvement rate (ΔR2); extrapolation performance; component ablation loss,Add element addition ablation plan to datasets.md,"Adds ""lower limit of performance degradation when excluded"" to U3 ablation plan.",In charge: Experimental design team. Prerequisite: Multidisciplinary data acquisition. Completion condition: Pre-registration of lower limit value.,"Medium (high structural data, ununiformed functional connectivity)",research_deepening_round2_2026-03-01.md#u3
U3,5,To what extent do prediction accuracy and explainability improve when including the glymphatic/meningeal lymphatic system?,The glymphatic/meningeal system is increasingly being studied in relation to cognitive function and Aβ clearance.,https://pubmed.ncbi.nlm.nih.gov/38418876/,https://pubmed.ncbi.nlm.nih.gov/40120575/,https://doi.org/10.3390/biomedicines14020409,Prediction improvement rate (ΔR2); extrapolation performance; component ablation loss,Add element addition ablation plan to datasets.md,Add an audit column to U3 RQ5 to record whether lymphatic system is involved.,Person in charge: Experimental team. Prerequisite: Introduction to lymphatic system measurement. Completion condition: Publication of effect size of presence/absence comparison.,"Medium (high structural data, ununiformed functional connectivity)",research_deepening_round2_2026-03-01.md#u3
U3,6,At what point does a model that excludes immune surveillance (meningeal immune/inflammatory signals) fail in long-term prediction?,A growing number of reports indicate that ignoring immune and inflammatory signals can disrupt long-term predictions.,https://pubmed.ncbi.nlm.nih.gov/38762094/,https://pubmed.ncbi.nlm.nih.gov/39888279/,https://pubmed.ncbi.nlm.nih.gov/40311620/,Prediction improvement rate (ΔR2); Extrapolation performance; Component ablation loss; Exclusion judgment match rate; Data retention rate,Add element addition ablation plan to datasets.md,"Add a measurement column to U3 RQ6, ""point of failure of immune exclusion model"".",Person in charge: Experimental team. Prerequisite: Long-term follow-up protocol approval. Completion requirements: Weekly to monthly scale failure point report.,"Medium (high structural data, ununiformed functional connectivity)",research_deepening_round2_2026-03-01.md#u3
U7,1,"To what extent should synchronization, QC, and stimulation logs be required with BIDS expansion?","Although the required items for BIDS have been expanded, the scope of what is required for WBE purposes has not yet been determined.",https://bids-specification.readthedocs.io/en/stable/,https://zenodo.org/records/18201723,,Time lag (ms); Modality consistency rate; QC passing rate; Time lag (ms); Jitter variance,Specify BIDS required metadata audit items in datasets.md,Adds a minimum set of BIDS required metadata (sync/QC/stimulus log) tables to U7.,Person in charge: Data Standardization WG. Prerequisite: BIDS operational rules agreement. Completion condition: Periodic publication of validator passing rate.,"Medium to high (progress in standardization, insufficient threshold design)",research_deepening_round3_2026-03-01.md#u7
U7,2,Is it possible to reduce time synchronization errors such as LSL to verifiable indicators?,"Synchronization error is not a question of whether it exists or not, but is a stage where it is measured and compared using an algorithm.",https://doi.org/10.1016/j.cmpb.2024.108298,https://pubmed.ncbi.nlm.nih.gov/34214093/,,Time lag (ms); Modality consistency rate; QC passing rate; Time lag (ms); Jitter variance,Specify BIDS required metadata audit items in datasets.md,"Add automatic calculation fields for ""Time lag (ms)"" and ""Jitter variance"" to U7 RQ2.",Person in charge: Measurement operation team. Premise: Unification of synchronization reference signals. Completion Criteria: Session-to-Session Comparison Report.,"Medium to high (progress in standardization, insufficient threshold design)",research_deepening_round3_2026-03-01.md#u7
U7,3,"How to audit the impact of differences in artifact removal settings (ASR, ZapLine, etc.) on results?","Since the results of artifact removal vary depending on the method, a settings audit is essential.",https://doi.org/10.1109/TBME.2024.3383142,https://arxiv.org/abs/2411.05812,,Time lag (ms); Modality consistency rate; QC passing rate,Specify BIDS required metadata audit items in datasets.md,"Add ""Preprocessing settings difference log"" to U7 RQ3 as a required audit item.",Person in charge: Analysis WG. Prerequisite: Unified preprocessing templates. Completion condition: Publish recall evaluation using configuration differences.,"Medium to high (progress in standardization, insufficient threshold design)",research_deepening_round3_2026-03-01.md#u7
U7,4,How to fix remeasurement/exclusion criteria when inter-modality alignment fails.,"When alignment fails, the operation will be unstable unless the criteria for remeasurement or exclusion is determined first.",https://arxiv.org/abs/2311.04912,https://doi.org/10.1038/s41597-024-03029-1,,Time lag (ms); Modality consistency rate; QC passing rate; Exclusion judgment agreement rate; Data retention rate,Specify BIDS required metadata audit items in datasets.md,"Add two-step judgment field ""re-measurement condition"" and ""exclusion condition"" to U7 RQ4.",Person in charge: Measurement operation team. Prerequisite: Approval of loss operating procedures. Completion condition: Publication of remeasurement/exclusion judgment match rate.,"Medium to high (progress in standardization, insufficient threshold design)",research_deepening_round3_2026-03-01.md#u7
