uid,rq_index,rq_text,reclose_condition_ja,gate_check_1_ja,gate_check_2_ja,gate_check_3_ja,gate_rule_ja,gate_state,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,After revalidation completes,Confirm re-judgment match,Confirm trail update completion,Check the next monitoring window update,reclose_ready when 3 conditions are met,gate_template_fixed,2026-03-01T23:54:00Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",After revalidation completes,Confirm re-judgment match,Confirm trail update completion,Check the next monitoring window update,reclose_ready when 3 conditions are met,gate_template_fixed,2026-03-01T23:54:00Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,After revalidation completes,Confirm re-judgment match,Confirm trail update completion,Check the next monitoring window update,reclose_ready when 3 conditions are met,gate_template_fixed,2026-03-01T23:54:00Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,After revalidation completes,Confirm re-judgment match,Confirm trail update completion,Check the next monitoring window update,reclose_ready when 3 conditions are met,gate_template_fixed,2026-03-01T23:54:00Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",After revalidation completes,Confirm re-judgment match,Confirm trail update completion,Check the next monitoring window update,reclose_ready when 3 conditions are met,gate_template_fixed,2026-03-01T23:54:00Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",After revalidation completes,Confirm re-judgment match,Confirm trail update completion,Check the next monitoring window update,reclose_ready when 3 conditions are met,gate_template_fixed,2026-03-01T23:54:00Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",After revalidation completes,Confirm re-judgment match,Confirm trail update completion,Check the next monitoring window update,reclose_ready when 3 conditions are met,gate_template_fixed,2026-03-01T23:54:00Z
U15,2,How should neurorights be mapped onto technical audit items?,After revalidation completes,Confirm re-judgment match,Confirm trail update completion,Check the next monitoring window update,reclose_ready when 3 conditions are met,gate_template_fixed,2026-03-01T23:54:00Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",After revalidation completes,Confirm re-judgment match,Confirm trail update completion,Check the next monitoring window update,reclose_ready when 3 conditions are met,gate_template_fixed,2026-03-01T23:54:00Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,After revalidation completes,Confirm re-judgment match,Confirm trail update completion,Check the next monitoring window update,reclose_ready when 3 conditions are met,gate_template_fixed,2026-03-01T23:54:00Z
