uid,rq_index,rq_text,log_event_type_ja,required_log_fields_ja,pass_condition_ja,fail_condition_ja,repo_action_on_pass_ja,repo_action_on_fail_ja,external_dependency_note_ja,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,trigger_check,Update date/corresponding heading/confirmation URL/confirmation time UTC/trigger type,Check definition changes for personhood or identity,No clause difference or only URL route difference,Apply Round27 update text template to main text,Add the deferment statement directly below the audit line,Reconfirm the browser only when the access route changes,2026-03-01T15:19:40Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",trigger_check,Update date/corresponding heading/confirmation URL/confirmation time UTC/trigger type,Check for changes in regulations at the start of inheritance or branching,Only wording adjustments without semantic differences,Apply Round27 update text template to main text,Add the deferment statement directly below the audit line,Reconfirm the browser only when the access route changes,2026-03-01T15:19:40Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,trigger_check,Update date/corresponding heading/confirmation URL/confirmation time UTC/trigger type,Confirm changes to addition/deletion conditions for conflict resolution rules,No heading differences or only table of contents reorganization,Apply Round27 update text template to main text,Add the deferment statement directly below the audit line,Reconfirm the browser only when the access route changes,2026-03-01T15:19:40Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,trigger_check,Update date/corresponding heading/confirmation URL/confirmation time UTC/trigger type,Confirmed connection changes between technical evaluation KPI and attribution determination requirements,Link normalization only or UI adjustment only,Apply Round27 update text template to main text,Add the deferment statement directly below the audit line,Reconfirm the browser only when the access route changes,2026-03-01T15:19:40Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",trigger_check,Update date/corresponding heading/confirmation URL/confirmation time UTC/trigger type,Confirm changes to entity ID restructuring standards or audit trail obligations,There is no difference in meaning just by changing the word order.,Apply Round27 update text template to main text,Add the deferment statement directly below the audit line,Reconfirm the browser only when the access route changes,2026-03-01T15:19:40Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",trigger_check,Update date/corresponding heading/confirmation URL/confirmation time UTC/trigger type,Confirm changes to deprivation procedures or follow-up audit obligations,No clause differences or only navigation changes,Apply Round27 update text template to main text,Add the deferment statement directly below the audit line,Reconfirm the browser only when the access route changes,2026-03-01T15:19:40Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",trigger_check,Update date/corresponding heading/confirmation URL/confirmation time UTC/trigger type,"Confirmed changes in the definition of personal information, sensitive information, and biometric information.",No revision date difference or UI changes only,Apply Round27 update text template to main text,Add the deferment statement directly below the audit line,Browser confirmation is only available when CLI differences are detected.,2026-03-01T15:19:40Z
U15,2,How should neurorights be mapped onto technical audit items?,trigger_check,Update date/corresponding heading/confirmation URL/confirmation time UTC/trigger type,Confirm neurorights mapping rule changes,Uniform style only or change line breaks only,Apply Round27 update text template to main text,Add the deferment statement directly below the audit line,Browser confirmation is only available when CLI differences are detected.,2026-03-01T15:19:40Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",trigger_check,Update date/corresponding heading/confirmation URL/confirmation time UTC/trigger type,Confirm changes to required requirements for cross-border transfers or interoperability,Add reference URL only or change chapter number only,Apply Round27 update text template to main text,Add the deferment statement directly below the audit line,Browser confirmation is only available when CLI differences are detected.,2026-03-01T15:19:40Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,trigger_check,Update date/corresponding heading/confirmation URL/confirmation time UTC/trigger type,Confirmed the change in the regulation of stop condition update condition re-evaluation cycle.,Add example only or add footnote only,Apply Round27 update text template to main text,Add the deferment statement directly below the audit line,Browser confirmation is only available when CLI differences are detected.,2026-03-01T15:19:40Z
