uid,rq_index,rq_text,resolution_path_id,starting_state,required_step_1_ja,required_step_2_ja,close_gate_ja,target_state,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,U12-RQ1-RP42,ready_to_close,Reconfirm the definition word revision differences,Reconfirm header match and test word match,No difference and update of judgment memo are established at the same time,closed_final,2026-03-01T18:22:30Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",U12-RQ2-RP42,ready_to_close,Get the current version difference,Check that clause headings and time words match.,No time-word difference and clause matching are established simultaneously.,closed_final,2026-03-01T18:22:30Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,U12-RQ3-RP42,hold_with_evidence,Rerun official clause extraction,Confirmed successful extraction two times in a row,Two successful extractions and update of pending reason were achieved at the same time.,ready_to_close,2026-03-01T18:22:30Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,U12-RQ4-RP42,ready_to_close,Check the difference between connective word and audit word,Confirm that the difference does not affect the judgment word,No audit word difference and judgment word match are established at the same time.,closed_final,2026-03-01T18:22:30Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",U12-RQ5-RP42,ready_to_close,Check the synonym table for additional words,Confirm that the judgment is maintained after normalization,Additional words reflected and no difference in judgment,closed_final,2026-03-01T18:22:30Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",U12-RQ6-RP42,ready_to_close,Check the difference between old and new notation,Check for missing trail items,Notation difference reflected and no trail missing,closed_final,2026-03-01T18:22:30Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",U15-RQ1-RP42,ready_to_close,Check whether there are any revisions to the legal text.,Check the consistency of definition word and judgment word,No revision difference and definition word match are established at the same time,closed_final,2026-03-01T18:22:30Z
U15,2,How should neurorights be mapped onto technical audit items?,U15-RQ2-RP42,ready_to_close,Check the additional items in the particle size correspondence table,Check for omissions in compliance with audit items,Additional items have been reflected and no missing responses,closed_final,2026-03-01T18:22:30Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",U15-RQ3-RP42,hold_with_evidence,Re-execute three requirements extraction,Check if the same three requirements are met twice in a row.,Fixed three requirements and harmonized jurisdiction requirements simultaneously,ready_to_close,2026-03-01T18:22:30Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,U15-RQ4-RP42,ready_to_close,Check whether a new periodic word has been added.,Check the differential impact of stop condition words,No periodic word difference and matching stop condition are established at the same time.,closed_final,2026-03-01T18:22:30Z
