uid,rq_index,rq_text,round3_status,round3_added_sources,round3_takeaway,next_internal_change,external_dependency
U4,1,What are the identification conditions that lift the correlation derived from observational data into a causal graph?,done,https://doi.org/10.1038/s41583-024-00881-3 | https://doi.org/10.1016/j.neuroimage.2024.120954,Causal claims that do not specify identification conditions have low reproducibility.,Added causal equivalence failure condition checklist to verification.md,"Person in charge: Experimental design team, Prerequisite: Approval of intervention protocol, Completion condition: Publication of falsification test report"
U4,2,"What is the minimal causal claim that can be verified through intervention experiments (stimulation, inhibition, input disturbance)?",done,https://doi.org/10.1109/TMI.2024.3381670 | https://doi.org/10.1001/jamanetworkopen.2024.9220,Minimal causal claims should include repeated replication of intervention effects.,Added causal equivalence failure condition checklist to verification.md,"Person in charge: Experimental design team, Prerequisite: Approval of intervention protocol, Completion condition: Publication of falsification test report"
U4,3,How do we connect the theoretical predictions of active inference and DCM to counterfactual evaluation?,done,https://pubmed.ncbi.nlm.nih.gov/38826672/ | https://doi.org/10.1109/TNSRE.2021.3123964,"Although DCM is useful, it is necessary to first fix the counterfactual evaluation design.",Added causal equivalence failure condition checklist to verification.md,"Person in charge: Experimental design team, Prerequisite: Approval of intervention protocol, Completion condition: Publication of falsification test report"
U4,4,At what level should the failure condition (falsification) of equivalence judgment be declared?,done,https://doi.org/10.1016/j.neuroimage.2024.120954 | https://doi.org/10.1038/s41583-024-00881-3,Equivalence determination that does not declare failure conditions numerically is not operational.,Added causal equivalence failure condition checklist to verification.md,"Person in charge: Experimental design team, Prerequisite: Approval of intervention protocol, Completion condition: Publication of falsification test report"
U7,1,"To what extent should synchronization, QC, and stimulation logs be required with BIDS expansion?",done,https://bids-specification.readthedocs.io/en/stable/ | https://zenodo.org/records/18201723,It is necessary to additionally define BIDS required items according to WBE usage.,Specify BIDS required metadata audit items in datasets.md,"Person in charge: Measurement operation team, Prerequisite: Synchronizer calibration, Completion condition: Reanalysis agreement rate > prior threshold"
U7,2,Is it possible to reduce time synchronization errors such as LSL to verifiable indicators?,done,https://doi.org/10.1016/j.cmpb.2024.108298 | https://pubmed.ncbi.nlm.nih.gov/34214093/,Synchronization errors should be measured using an algorithm and managed using thresholds.,Specify BIDS required metadata audit items in datasets.md,"Person in charge: Measurement operation team, Prerequisite: Synchronizer calibration, Completion condition: Reanalysis agreement rate > prior threshold"
U7,3,"How to audit the impact of differences in artifact removal settings (ASR, ZapLine, etc.) on results?",done,https://doi.org/10.1109/TBME.2024.3383142 | https://arxiv.org/abs/2411.05812,Auditing of artifact removal setting differences is required.,Specify BIDS required metadata audit items in datasets.md,"Person in charge: Measurement operation team, Prerequisite: Synchronizer calibration, Completion condition: Reanalysis agreement rate > prior threshold"
U7,4,How to fix remeasurement/exclusion criteria when inter-modality alignment fails.,done,https://arxiv.org/abs/2311.04912 | https://doi.org/10.1038/s41597-024-03029-1,It is necessary to first decide on the two-step judgment of remeasurement/exclusion.,Specify BIDS required metadata audit items in datasets.md,"Person in charge: Measurement operation team, Prerequisite: Synchronizer calibration, Completion condition: Reanalysis agreement rate > prior threshold"
U7,5,"When automatically comparing preprocessing differences using CI, what reduction in recall rate should be used as the release block threshold?",done,https://bids-specification.readthedocs.io/en/stable/ | https://doi.org/10.1109/TBME.2024.3383142,"If the CI stop threshold is not fixed as a numerical value, the operation will be unstable.",Specify BIDS required metadata audit items in datasets.md,"Person in charge: Measurement operation team, Prerequisite: Synchronizer calibration, Completion condition: Reanalysis agreement rate > prior threshold"
U7,6,What is the minimum set of observations that can maintain equivalent conclusions even under modality-defective (EEG-defective/fMRI-deficit) conditions?,done,https://doi.org/10.3389/fnrgo.2024.1411305 | https://doi.org/10.1515/revneuro-2023-0098,It is necessary to empirically determine the minimum observation set under missing conditions.,Specify BIDS required metadata audit items in datasets.md,"Person in charge: Measurement operation team, Prerequisite: Synchronizer calibration, Completion condition: Reanalysis agreement rate > prior threshold"
