uid,rq_index,rq_text,priority_lane,execution_order,precheck_item_1_ja,precheck_item_2_ja,precheck_item_3_ja,scheduled_review_utc,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,high,1,Check previous comparison URL difference,trigger match judgment,Threshold exceeded judgment,2026-03-08T14:38:23Z,2026-03-01T21:05:00Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",standard,5,Check previous comparison URL difference,trigger match judgment,Threshold exceeded judgment,2026-03-08T14:38:23Z,2026-03-01T21:05:00Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,high,2,Check previous comparison URL difference,trigger match judgment,Threshold exceeded judgment,2026-03-08T14:38:23Z,2026-03-01T21:05:00Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,standard,6,Check previous comparison URL difference,trigger match judgment,Threshold exceeded judgment,2026-03-08T14:38:23Z,2026-03-01T21:05:00Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",standard,7,Check previous comparison URL difference,trigger match judgment,Threshold exceeded judgment,2026-03-08T14:38:23Z,2026-03-01T21:05:00Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",standard,8,Check previous comparison URL difference,trigger match judgment,Threshold exceeded judgment,2026-03-08T14:38:23Z,2026-03-01T21:05:00Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",high,3,Check previous comparison URL difference,trigger match judgment,Threshold exceeded judgment,2026-03-08T14:38:23Z,2026-03-01T21:05:00Z
U15,2,How should neurorights be mapped onto technical audit items?,standard,9,Check previous comparison URL difference,trigger match judgment,Threshold exceeded judgment,2026-03-08T14:38:23Z,2026-03-01T21:05:00Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",high,4,Check previous comparison URL difference,trigger match judgment,Threshold exceeded judgment,2026-03-08T14:38:23Z,2026-03-01T21:05:00Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,standard,10,Check previous comparison URL difference,trigger match judgment,Threshold exceeded judgment,2026-03-08T14:38:23Z,2026-03-01T21:05:00Z
