uid,rq_index,supplementary_1,domain,source_class,quality_grade,assessment_note,recommended_action,basis
U0,1,https://doi.org/10.1007/s11229-024-04744-3,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 13)
U0,2,https://doi.org/10.1007/s11229-024-04744-3,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 13)
U0,3,https://doi.org/10.1007/s11229-024-04744-3,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 13)
U0,4,https://doi.org/10.1007/s11229-024-04744-3,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 13)
U1,1,https://doi.org/10.1088/2057-1976/aca20b,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 13)
U1,2,https://doi.org/10.1088/2057-1976/aca20b,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 13)
U1,3,https://doi.org/10.1088/2057-1976/aca20b,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 13)
U1,4,https://doi.org/10.1088/2057-1976/aca20b,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 13)
U3,1,https://pubmed.ncbi.nlm.nih.gov/38762094/,pubmed.ncbi.nlm.nih.gov,index_db_pubmed,A,Listed in PubMed. We recommend checking the research design in the main text.,Maintain,Automatic classification based on URL type (Round 13)
U3,2,https://pubmed.ncbi.nlm.nih.gov/38762094/,pubmed.ncbi.nlm.nih.gov,index_db_pubmed,A,Listed in PubMed. We recommend checking the research design in the main text.,Maintain,Automatic classification based on URL type (Round 13)
U3,3,https://pubmed.ncbi.nlm.nih.gov/38762094/,pubmed.ncbi.nlm.nih.gov,index_db_pubmed,A,Listed in PubMed. We recommend checking the research design in the main text.,Maintain,Automatic classification based on URL type (Round 13)
U3,4,https://pubmed.ncbi.nlm.nih.gov/38762094/,pubmed.ncbi.nlm.nih.gov,index_db_pubmed,A,Listed in PubMed. We recommend checking the research design in the main text.,Maintain,Automatic classification based on URL type (Round 13)
U3,5,https://pubmed.ncbi.nlm.nih.gov/38762094/,pubmed.ncbi.nlm.nih.gov,index_db_pubmed,A,Listed in PubMed. We recommend checking the research design in the main text.,Maintain,Automatic classification based on URL type (Round 13)
U3,6,https://pubmed.ncbi.nlm.nih.gov/38762094/,pubmed.ncbi.nlm.nih.gov,index_db_pubmed,A,Listed in PubMed. We recommend checking the research design in the main text.,Maintain,Automatic classification based on URL type (Round 13)
U4,1,https://doi.org/10.1109/TNSRE.2021.3123964,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 13)
U4,2,https://doi.org/10.1109/TNSRE.2021.3123964,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 13)
U4,3,https://doi.org/10.1109/TNSRE.2021.3123964,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 13)
U4,4,https://doi.org/10.1109/TNSRE.2021.3123964,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 13)
U7,1,https://arxiv.org/abs/2311.04912,arxiv.org,preprint,B,"Since it may not have been peer-reviewed, it is limited to assistance rather than the basis for a conclusion.",Needs tracking,Automatic classification based on URL type (Round 13)
U7,2,https://arxiv.org/abs/2311.04912,arxiv.org,preprint,B,"Since it may not have been peer-reviewed, it is limited to assistance rather than the basis for a conclusion.",Needs tracking,Automatic classification based on URL type (Round 13)
