uid,rq_index,rq_text,cycle_commitment_1_ja,cycle_commitment_2_ja,cycle_commitment_3_ja,commitment_state,owner,next_cycle_utc,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,Monitoring window start time record,trigger match judgment record,Gate result record,committed,U12_monitor_owner,2026-03-08T14:38:23Z,2026-03-01T20:46:55Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",Monitoring window start time record,trigger match judgment record,Gate result record,committed,U12_monitor_owner,2026-03-08T14:38:23Z,2026-03-01T20:46:55Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,Monitoring window start time record,trigger match judgment record,Gate result record,committed,U12_monitor_owner,2026-03-08T14:38:23Z,2026-03-01T20:46:55Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,Monitoring window start time record,trigger match judgment record,Gate result record,committed,U12_monitor_owner,2026-03-08T14:38:23Z,2026-03-01T20:46:55Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",Monitoring window start time record,trigger match judgment record,Gate result record,committed,U12_monitor_owner,2026-03-08T14:38:23Z,2026-03-01T20:46:55Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",Monitoring window start time record,trigger match judgment record,Gate result record,committed,U12_monitor_owner,2026-03-08T14:38:23Z,2026-03-01T20:46:55Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",Monitoring window start time record,trigger match judgment record,Gate result record,committed,U15_monitor_owner,2026-03-08T14:38:23Z,2026-03-01T20:46:55Z
U15,2,How should neurorights be mapped onto technical audit items?,Monitoring window start time record,trigger match judgment record,Gate result record,committed,U15_monitor_owner,2026-03-08T14:38:23Z,2026-03-01T20:46:55Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",Monitoring window start time record,trigger match judgment record,Gate result record,committed,U15_monitor_owner,2026-03-08T14:38:23Z,2026-03-01T20:46:55Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,Monitoring window start time record,trigger match judgment record,Gate result record,committed,U15_monitor_owner,2026-03-08T14:38:23Z,2026-03-01T20:46:55Z
