phase,topic,day_0_to_60,day_61_to_120,day_121_to_180,decision_gate,avoid_point
1,"EEG信号品質の限界検証","新条件で QC 閾値と artifact log の差分を整理する","閾値表と failure mode を更新して再利用条件を固める","再利用できる品質基準だけを公開用に残す","外部比較に使える基準が残れば続行 そうでなければ再停止","高次読取りへ飛ばない"
1,"高密度EEG空間分解能評価","新 montage 条件で密度比較を再実施する","比較図と設定差分を安定版にする","利得が増えた条件だけを基準表に残す","利得条件が継続して増えれば続行 そうでなければ縮小","局在完成の物語にしない"
1,"マルチモーダル統合の基礎","paired data と同期条件の差分を再整理する","最小統合利得の比較図を安定版にする","限定利得が出る条件だけを共有メモに残す","限定利得が再利用されれば続行 そうでなければ再停止","統合万能論に戻らない"
1,"ノイズ除去・信号分離手法の比較","共通 benchmark で前処理候補を再比較する","比較表と failure case を安定版にする","既定値候補だけを実務メモに残す","既定値候補が複数条件で保てば続行 そうでなければ再停止","最強法探しへ戻らない"
1,"長時間記録の安定性評価","再校正条件の差分を再測定する","安定区間図と再校正条件表を安定版にする","延びた区間だけを運用基準に残す","usable window が運用指針として残れば続行 そうでなければ再停止","長時間夢想に戻らない"
2,"デコーディング精度ベンチマーク","新 dataset family で baseline を再計算する","比較表の差分を安定版にする","意味のある新差分だけを benchmark 更新メモに残す","新差分が外部比較に使われれば続行 そうでなければ再停止","精度競争に戻らない"
2,"クロスデータセット汎化","共有 schema で最小統合をやり直す","gap 比較表と原因候補を安定版にする","整理できた原因だけを汎化条件メモに残す","gap 整理が他 dataset に転用されれば続行 そうでなければ再停止","どこでも通用と語らない"
2,"リアルタイムデコーディング","軽量 pipeline で latency と安定性を再測定する","遅延精度図と実行条件を安定版にする","動いた構成だけを軽量運用仕様に残す","現実条件で回る構成が再現すれば続行 そうでなければ再停止","完成システムとして語らない"
2,"Foundation Modelの適用","新しい pretraining 条件で小さく再学習する","転移比較表と OOD 条件を安定版にする","利いた条件だけを再現比較基盤に残す","強い baseline を超える条件が残れば続行 そうでなければ再停止","基盤モデル完成と言わない"
2,"運動意図デコーディング","適応校正条件の差分だけを追試する","MI baseline 表と校正条件を安定版にする","効いた校正条件だけを基準表に残す","被験者外改善が安定すれば続行 そうでなければ再停止","普遍的読取りにしない"
2,"感覚知覚デコーディング","刺激制御を揃えた限定課題だけを追試する","課題比較表と刺激条件を安定版にする","差が残る課題だけを安全域メモに残す","安定差が別条件でも残れば続行 そうでなければ再停止","知覚全体復元に広げない"
2,"言語/意味デコーディング","annotation 差分を最小範囲で追試する","最小単位比較表と annotation 条件を安定版にする","切れた条件だけを安全域メモに残す","安定差が外部比較に使われれば続行 そうでなければ再停止","思考解読にしない"
3,"感情状態の推定・分類","ラベル条件の差分だけを追試する","頑健性表とラベル条件を安定版にする","安定ラベルだけを利用範囲メモに残す","一貫性が再利用水準まで上がれば続行 そうでなければ再停止","感情断定にしない"
3,"記憶のエンコーディング/検索","統制課題の差分だけを追試する","proxy 比較表と課題条件を安定版にする","再現した proxy だけを追試メモに残す","proxy が追試基盤として残れば続行 そうでなければ再停止","記憶内容を読む話にしない"
3,"注意・ワーキングメモリ","drift 制御条件の差分だけを追試する","負荷比較表と drift 条件を安定版にする","安定した session 条件だけを運用メモに残す","負荷差が drift より強く残れば続行 そうでなければ再停止","万能指標にしない"
3,"意思決定過程","design 差分を最小課題で追試する","proxy 表と除外解釈を安定版にする","残る差分だけを比較メモに残す","過程差が confound を越えて残れば続行 そうでなければ再停止","自由意志論へ流れない"
3,"社会的認知","小課題 pilot を繰り返し1単位で追試する","最小条件表と pilot 条件を安定版にする","回る小課題だけを小課題仕様に残す","小課題が別場面でも回れば続行 そうでなければ再停止","広い社会性判定にしない"
3,"創造性・問題解決","rubric 差分で限定課題を追試する","proxy 図と rubric を安定版にする","教材化できる比較軸だけを残す","採点一致が再利用水準まで上がれば続行 そうでなければ再停止","創造性そのものを測れたとしない"
3,"主観的経験の定量化","安定尺度の差分だけを追試する","対応表と尺度条件を安定版にする","残る尺度だけを利用範囲メモに残す","対応が安定尺度で残れば続行 そうでなければ再停止","完全定量化と書かない"
4,"意識の神経相関（NCC）定量化","状態統制 contrast の差分だけを追試する","候補比較図と contrast 条件を安定版にする","残る候補だけを限定比較メモに残す","候補差が proxy 比較として残れば続行 そうでなければ再停止","意識の正体解明としない"
4,"意識状態の分類（覚醒/睡眠/麻酔/DoC）","site 条件の差分だけを追試する","benchmark 表と site 条件を安定版にする","使える site 条件だけを共有メモに残す","cross-site 条件が残れば続行 そうでなければ再停止","臨床診断代替にしない"
4,"統合情報理論(IIT)の実証的検証","近似条件の差分だけを追試する","proxy 比較表と近似条件を安定版にする","安定した proxy だけを比較メモに残す","近似 proxy が再現比較として残れば続行 そうでなければ再停止","理論証明にしない"
4,"Global Workspace Theory の検証","contrast 差分だけを preregistered 条件で追試する","候補反応図と contrast 条件を安定版にする","再現した contrast だけを限定メモに残す","候補反応が限定条件で残れば続行 そうでなければ再停止","理論の勝敗を決めたとしない"
4,"意識の連続性と同一性","longitudinal 差分だけを追試する","個人内比較図と longitudinal 条件を安定版にする","残る条件だけを状態遷移メモに残す","個人内安定性が限定条件で残れば続行 そうでなければ再停止","本人確認技術にしない"
4,mind-upload可能性の理論的枠組み,"empirical anchor の差分だけを claim ladder に差し込む","安全域と不足要件表を安定版にする","更新できた段だけを評価軸メモに残す","安全域の段が再利用されれば続行 そうでなければ再停止","実現可能性を匂わせない"
