phase,topic,slide_title,top_line,left_block,right_block,bottom_line,avoid_point
1,"EEG信号品質の限界検証","品質下限の比較表","公開脳波を同一指標で測り直し、再利用できる品質の下限を整理する","対象公開データと品質指標・欠損率と雑音の分布","前処理前後の保存率比較・失敗しやすい条件と再現手順","まず品質条件の共通土台を置く","品質だけで高次の解読可能性を断定しない"
1,"高密度EEG空間分解能評価","電極密度と局在誤差","高密度脳波の公開データで電極数と局在誤差の関係を保守的に整理する","電極密度ごとの設定・基準位置があるデータの候補","局在誤差の比較図・必要十分な電極条件","空間分解能の実用上限を比較可能な形で残す","脳内位置を精密に特定できると誇張しない"
1,"マルチモーダル統合の基礎","同期条件の最小構成","脳波と他計測の公開データから再現しやすい同期条件を整理する","対象計測と同期ずれ・単独利用と統合利用の比較軸","統合で改善する指標・最小の同期手順と制約","足し合わせの効果は同期条件つきで示す","統合すれば心の全体像が分かると述べない"
1,"ノイズ除去・信号分離手法の比較","前処理差の見える化","複数の前処理法を同条件で比べ、信号保持と雑音除去の差を整理する","比較する前処理法・固定する評価条件","信号保持率と下流成績・失敗例と再現手順","前処理は性能より安定性で選ぶ","雑音を完全に消せると書かない"
1,"長時間記録の安定性評価","長時間計測の崩れ方","長時間脳波で時間経過によるずれと欠損の境目を整理する","計測時間と状態変化・ずれと欠損の指標","安定区間と崩れる条件・再校正が必要な目安","縦断利用は安定区間の確認から始める","長時間なら連続追跡できると決めつけない"
2,"デコーディング精度ベンチマーク","共通基準線の整備","主要な公開脳波課題に統一条件を当てて比較の基準線を作る","対象課題と分割条件・評価指標の統一","基準線の比較表・被験者外での再現性","最高成績より比較可能性を優先する","一つの高成績を全体代表にしない"
2,"クロスデータセット汎化","データまたぎの落差","施設や装置をまたいだ性能低下を測り、汎化の限界を整理する","学習元と評価先の組合せ・被験者差とデータ差の切り分け","性能低下の比較図・移植しやすい条件と除外条件","通用する範囲はデータ差を明示して示す","どの公開データでもそのまま使えると言わない"
2,"リアルタイムデコーディング","遅延と精度の折り合い","再生実験で実時間に近い判定条件を測り、最小構成を整理する","処理遅延の内訳・判定窓の長さと更新間隔","遅延と精度の比較・実時間化できる条件の下限","まず遅延の見積りを公開可能にする","完全なオンライン判定が完成したと書かない"
2,"Foundation Modelの適用","自己教師あり表現の比較","自己教師あり表現を公開脳波で比べ、再利用しやすい特徴の条件を整理する","事前学習の設定・少量学習での識別条件","未知条件での落ち方・計算量と再現手順","大規模化より転用可能性を評価する","規模を上げれば解けると単純化しない"
2,"運動意図デコーディング","被験者外の基準線","運動意図課題で被験者外条件を固定し、汎化の下限を整理する","対象課題と保持条件・被験者内と被験者外の差","汎化成績の比較表・崩れやすい条件と補助策","個人内の高成績より横断条件を重視する","少数例の高精度を一般化しない"
2,"感覚知覚デコーディング","知覚課題の安全域","視覚と聴覚の公開課題を揃え、再現しやすい知覚分類条件を整理する","対象課題と刺激条件・混同しやすい組合せ","分類成績と誤分類・課題間で共通する条件","知覚分類は課題を絞って比較する","知覚全般を読み切れるように見せない"
2,"言語/意味デコーディング","成立する最小単位","公開脳波で言語と意味の識別単位を揃え、成立条件を小さく整理する","ラベル定義と除外条件・課題ごとの差","識別できる単位の比較・再現しやすい手順","まず最小単位の再現可能性を確認する","思考全体を読めると受け取られる表現を避ける"
3,"感情状態の推定・分類","主観ラベルの揺れ幅","感情とストレスの公開脳波を横断し、ラベルの揺れと頑健性を整理する","主観ラベルの付け方・被験者差と課題差","成績と校正の比較・安全に使える条件","感情推定は揺れ幅込みで報告する","感情を客観的に断定できると書かない"
3,"記憶のエンコーディング/検索","安定する記憶指標","記憶課題の公開脳波で比較軸を揃え、追試しやすい指標を整理する","記銘と検索の課題条件・比較する指標","再現した指標と不安定な指標・追試手順","記憶の議論は代理指標の再現から始める","記憶の本質解明を前面に出さない"
3,"注意・ワーキングメモリ","一般化しやすい負荷指標","注意と作業記憶の公開課題を比べ、時間ずれに強い指標を整理する","負荷水準と課題設計・時間経過によるずれ","一般化しやすい指標・再現しにくい条件","負荷指標は小さく確かなものだけ残す","集中力を万能に評価できると示さない"
3,"意思決定過程","測れる代理指標の範囲","報酬と選好の公開課題から測定可能な代理指標を限定して整理する","比較する選択課題・除外する解釈","指標ごとの差分・測れる範囲と不確実さ","意思決定は小さな比較可能項目に分けて扱う","意思決定全体の理論検証に広げない"
3,"社会的認知","最小実験条件の共有","共同課題の公開脳波から少人数でも再現しやすい条件を整理する","共同課題と対照条件・社会的負荷の指標","再現した代理指標・失敗しやすい実験条件","まず最小限の共同課題を比較可能にする","社会性を広く判定できるように見せない"
3,"創造性・問題解決","教材化できる代理指標","ひらめき課題の公開脳波で追試しやすい代理指標を整理する","課題設計と反応分類・候補となる事象関連成分","再現した差分・教材化しやすい手順","創造性ではなく課題内差分を控えめに示す","創造性の本質を測れたと書かない"
3,"主観的経験の定量化","自己評定との対応","自己評定と脳波指標の対応が安定する条件を小さく整理する","評定方法とばらつき・対応を見る指標","対応が安定する条件・補助利用の範囲","主観経験は補助的な比較指標として扱う","主観を完全に数値化できると述べない"
4,"意識の神経相関（NCC）定量化","状態境界に敏感な候補","覚醒と睡眠の境界で変わる代理指標を比べ、再現範囲を整理する","対象状態と遷移条件・複雑さと変化の指標","境界での差分比較・安定して残る候補","意識そのものではなく状態差の指標を残す","意識の正体を解明したように書かない"
4,"意識状態の分類（覚醒/睡眠/麻酔/DoC）","状態分類の基準線","主要状態に同一条件を当てて分類の基準線を整理する","対象状態と分割条件・混同しやすい組合せ","分類成績と外れ条件・診断と区別する境界","まず比較用の分類枠を整備する","臨床診断が完成したと受け取られる表現を避ける"
4,"統合情報理論(IIT)の実証的検証","複雑さ指標の再計算","理論に近い複雑さ指標を公開脳波で測り直し、安定した差だけを整理する","対象状態と指標定義・再計算の条件","状態差の比較・再現しない条件と制約","理論の証明ではなく観測差の再現性を見る","理論そのものを実証したと断定しない"
4,"Global Workspace Theory の検証","更新反応の比較条件","公開課題で更新反応の候補を揃え、再現しやすい条件を整理する","対象課題と候補指標・振幅と潜時の比較","条件差の再現結果・解釈を控える境界","理論対決より観測条件の共有を優先する","理論の優劣が決着したように書かない"
4,"意識の連続性と同一性","個人内安定性の下限","セッションをまたぐ脳波特徴を比べ、個人内で残る成分の下限を整理する","同一人物内の比較条件・状態変化の影響","安定成分と変動成分・連続性を語れる範囲","本人性ではなく安定性の比較として扱う","本人確認技術として読み替えられる表現を避ける"
4,"mind-upload可能性の理論的枠組み","主張の段階表","公開脳波で支えられる主張の段階を並べ、測定条件との対応を整理する","段階ごとの主張範囲・必要な測定と汎化条件","共有できる成果物・まだ空白の部分","可能性ではなく評価軸の共有を先に進める","実現可能性を断定したり時期を示したりしない"
