phase,topic,q2_goal,task_1,task_2,task_3,q2_deliverable,avoid_point
1,EEG信号品質の限界検証,Q1更新版を安定化して共有先1つへ渡す,更新した品質閾値表を固定する,共有先1つで再利用可否を確認する,再利用条件を短いメモにまとめる,品質閾値表安定版と再利用メモ,品質から高次読取りへ飛ばない
1,高密度EEG空間分解能評価,密度比較図を安定版にして標準条件へ接続する,更新済み比較図の条件を固定する,共有先1つで推奨設定の妥当性を確認する,標準条件メモにまとめる,密度比較図安定版と標準条件メモ,局在技術の完成と語らない
1,マルチモーダル統合の基礎,最小統合利得の更新版を限定課題の基準として閉じる,Q1で作った比較表を安定化する,共有先1つで同期条件の読み違いがないか確認する,限定 benchmark 用メモにまとめる,同期条件比較表安定版と限定 benchmark メモ,統合万能論にしない
1,ノイズ除去・信号分離手法の比較,前処理比較表を実務既定値の安定版へ寄せる,比較表と失敗例一覧を固定する,共有先1つで既定値候補の使い方を確認する,実務メモを整える,前処理比較表安定版と既定値メモ,最強法探しへ戻らない
1,長時間記録の安定性評価,安定区間図を長時間運用の安定版として閉じる,Q1更新図の条件を固定する,共有先1つで再校正境目の読み方を確認する,運用メモを仕上げる,安定区間比較図安定版と運用メモ,完全追跡の話にしない
2,デコーディング精度ベンチマーク,baseline表を安定版にして再利用先1つへ流す,Q1更新版のsplitとmetricを固定する,共有先1つで benchmark としての使いやすさを確認する,更新告知メモを整える,共通baseline表安定版と更新告知メモ,最高精度競争に戻らない
2,クロスデータセット汎化,汎化gap表を条件固定の安定版にする,Q1更新版のラベル空間を固定する,共有先1つで例外条件の妥当性を確認する,条件メモを短く整える,汎化gap比較表安定版と条件メモ,どこでも通用と語らない
2,リアルタイムデコーディング,低遅延条件の折り合い図を安定版にする,Q1更新図の条件を固定する,共有先1つで運用可能な遅延域を確認する,軽量運用メモを整える,遅延精度折り合い図安定版と軽量運用メモ,完成システムとして語らない
2,Foundation Modelの適用,転移比較表を再利用可能な安定版にする,Q1更新版のOOD条件を固定する,共有先1つで比較軸の妥当性を確認する,比較メモを整える,表現転移比較表安定版と比較メモ,基盤モデル完成と言わない
2,運動意図デコーディング,MI baseline表を安定版として外部共有する,Q1更新版の被験者外条件を固定する,共有先1つで実務基準としての使いやすさを確認する,共有メモを整える,MI baseline表安定版と共有メモ,普遍的読取りにしない
