phase,topic,pitch_30s,opening_line,closing_line,avoid_point
1,"EEG信号品質の限界検証","公開脳波を横断して信号対雑音比や欠損、雑音耐性を同じ手順で測り直し、どこまでが再利用可能な品質かを下限として示します。派手な解読ではなく、比較表と再現手順を先に整える提案です。","まず品質の下限を測ります","比較表と再現手順を残します","品質だけで脳情報を読めると言わない"
1,"高密度EEG空間分解能評価","高密度脳波の公開データで電極数を段階的に減らし、局在誤差と安定性がどこで崩れるかを比べます。必要十分な電極条件を保守的に示し、空間限界を比較表で整理します。","電極数の必要十分条件を見ます","空間限界を比較表で示します","脳内位置を正確に特定できると言わない"
1,"マルチモーダル統合の基礎","脳波と近赤外、視線などの同時計測公開データを使い、同期ずれと統合有無の差を比較します。何を足すとどこまで安定性が上がるのかを、再現可能な統合条件として整理します。","統合の前に同期条件を揃えます","足し算の効果を保守的に示します","統合すれば心が完全に分かると言わない"
1,"ノイズ除去・信号分離手法の比較","複数の前処理法を公開脳波で同条件比較し、雑音除去後の信号保存率と下流性能の差を測ります。どの手法が安定して使えるかを、失敗条件込みの前処理基準として残します。","前処理差を同条件で比べます","信号保存率まで報告します","雑音を完全除去できると言わない"
1,"長時間記録の安定性評価","睡眠や疲労を含む長時間脳波を使い、時間経過によるずれ、欠損、状態遷移の安定性を追います。長く測ったときに再校正が必要になる境目を、実務的な目安として示します。","長時間でどこから崩れるかを見ます","縦断利用の前提条件を残します","長時間なら連続追跡できると言い切らない"
2,"デコーディング精度ベンチマーク","運動想起、事象関連電位、定常視覚誘発電位の公開課題に統一分割と統一指標を当て、基準線を作ります。最高精度競争ではなく、被験者外でも再現する比較土台を整える提案です。","まず基準線を揃えます","比較土台を公開できる形で残します","最高精度だけを売りにしない"
2,"クロスデータセット汎化","同じ種類の課題でも施設や装置が違うと性能がどれだけ落ちるかを、公開脳波間で測ります。被験者差とデータ差を切り分け、どの条件なら移植可能かを保守的に示します。","データをまたぐ性能低下を測ります","汎化できる条件だけを残します","どのデータでも通用すると言わない"
2,"リアルタイムデコーディング","公開脳波を再生して遅延を見積もり、どの処理なら実時間に近い判定が成立するかを確かめます。完全オンライン実装を急がず、遅延と精度の折り合いを取る最小条件を示します。","まず遅延の下限を測ります","実時間化の最小条件を示します","即時判定が完成したと言わない"
2,"Foundation Modelの適用","自己教師あり学習で得た脳波表現を公開データで比べ、線形判別と未知条件での落ち方を見ます。大規模化そのものではなく、再利用しやすい表現がどこまで通用するかを評価します。","基盤表現の汎用性を測ります","再利用しやすい表現条件を残します","大規模化だけで解けると言わない"
2,"運動意図デコーディング","運動想起の公開脳波で被験者外条件を固定し、他人のデータにどこまで移れるかを測ります。個人内の好成績ではなく、横断比較で残る汎化限界をベンチマークとして示します。","被験者外条件を固定します","汎化限界を基準線として残します","個人内の高精度だけを強調しない"
2,"感覚知覚デコーディング","聴覚や視覚の公開課題をまたいで、知覚分類が再現しやすい条件と混同しやすい条件を比べます。課題ごとの差を整理し、感覚デコーディングの安全域を小さく固める提案です。","知覚課題の比較条件を揃えます","混同しやすい条件まで示します","知覚全体を読み切ると言わない"
2,"言語/意味デコーディング","想起発話や意味関連電位の公開データでラベル定義を揃え、どの単位なら再現的に識別できるかを確かめます。言語理解の全体像ではなく、成立しやすい最小単位を切り出します。","まずラベル定義を固定します","成立する最小単位を示します","思考そのものを読めると言わない"
3,"感情状態の推定・分類","感情やストレスの公開脳波を横断し、主観ラベルの揺れと被験者間の頑健性を比べます。分類精度だけでなく、どのラベルがどこで崩れるかを整理して安全な使い方に絞ります。","ラベルの揺れから確認します","安全に使える範囲だけ残します","感情を客観的に断定できると言わない"
3,"記憶のエンコーディング/検索","作業記憶と検索課題の公開脳波で比較軸を揃え、再現しやすい記憶指標を探します。記憶の本質を語るのではなく、課題間で安定して残る代理指標を地道に特定します。","記憶課題の比較軸を固定します","安定する代理指標を残します","記憶の本質解明を掲げない"
