phase,topic,review_goal,check_1,check_2,check_3,keep_artifact,cut_next_month,avoid_point
1,"EEG信号品質の限界検証","品質下限の比較軸を崩さず残す","品質指標と除外条件が固定されたか","前処理前後の比較表が更新されたか","失敗条件が1文で言えるか","品質比較表と指標メモ","新しい品質指標の追加","品質から高次解読へ飛ばない"
1,"高密度EEG空間分解能評価","電極密度ごとの差だけを確実に残す","電極密度条件が固定されたか","局在比較図が再生成できるか","必要十分条件が1文で言えるか","電極密度比較図","侵襲計測との直接比較","精密局在の主張にしない"
1,"マルチモーダル統合の基礎","同期条件つきの比較を閉じる","同期監査条件が固定されたか","unimodal と fusion の差が1表で見えるか","利得が出ない条件も残せたか","同期条件比較表","モダリティ追加の拡張","統合で全体理解が進むと言わない"
1,"ノイズ除去・信号分離手法の比較","手法順位でなく安定域を残す","比較する手法群が固定されたか","信号保持率と下流性能を併記できたか","失敗例が1つ以上残ったか","前処理比較表","手法の追加競争","最強法を決める話にしない"
1,"長時間記録の安定性評価","安定区間の実務目安を残す","状態 family が分かれているか","崩れ始め地点が図で見えるか","再校正境目を1文で言えるか","安定区間比較図","長時間条件の追加","完全追跡の主張にしない"
2,"デコーディング精度ベンチマーク","共通基準線の形を守る","統一 split と metric が守られたか","被験者外 baseline が更新されたか","失敗例が benchmark に残ったか","共通基準線表","課題数の拡張","最高精度競争に寄せない"
2,"クロスデータセット汎化","劣化幅の分解を残す","共通ラベル空間だけで比較しているか","within と across の差が見えるか","外部汎化 gap を1文で言えるか","汎化 gap 比較表","共通でないデータの追加","どこでも通用と言わない"
2,"リアルタイムデコーディング","遅延下限の比較を閉じる","擬似リアルタイム条件が固定されたか","遅延別精度図が再生成できるか","最小成立条件を1文で言えるか","遅延と精度の折り合い図","UI やオンライン実装の拡張","完成システムとして語らない"
2,"Foundation Modelの適用","転移条件の比較に絞る","自己教師あり baseline が固定されたか","OOD gap が表で見えるか","転用可能性を1文で言えるか","表現転移比較表","大規模モデル実装の拡張","基盤モデル完成と言わない"
2,"運動意図デコーディング","被験者外 benchmark を残す","被験者外条件が固定されたか","session 外との差が見えるか","補助策を1文で言えるか","被験者外 benchmark 表","個人内条件の最適化","普遍的読取りにしない"
2,"感覚知覚デコーディング","知覚課題の安全域を残す","ERP 系と SSVEP 系を分けたか","誤分類条件が表に入ったか","安全域を1文で言えるか","知覚課題比較表","刺激条件の無制限追加","知覚全体復元にしない"
2,"言語/意味デコーディング","成立単位だけを残す","ラベル定義と除外条件が固定されたか","識別できる単位が表に残ったか","崩れる単位を1文で言えるか","最小単位比較表","ラベル単位の増加","思考読取りにしない"
3,"感情状態の推定・分類","ラベル揺れ込みの安全域を残す","主観ラベル軸が固定されたか","校正あり/なし比較が残ったか","安全に使える条件を1文で言えるか","感情ラベル頑健性表","感情カテゴリの追加","感情断定にしない"
3,"記憶のエンコーディング/検索","成績関連 proxy を残す","成功失敗比較軸が固定されたか","安定指標と不安定指標が分かれたか","成績関連差を1文で言えるか","記憶 proxy 比較表","内容読出しの拡張","記憶の本質解明にしない"
3,"注意・ワーキングメモリ","一般化しやすい proxy を残す","負荷 proxy が複数残ったか","drift を含む比較ができたか","一般化しやすい条件を1文で言えるか","負荷 proxy 比較表","単一スコア化","万能指標にしない"
3,"意思決定過程","測れる線を明確に残す","proxy と除外解釈が固定されたか","測れる線と測れない線が見えるか","比較可能項目を1文で言えるか","意思決定 proxy 表","理論全体への拡張","自由意志論にしない"
3,"社会的認知","最小共同課題条件を残す","対象課題が1つか2つに絞られたか","失敗条件が表に残ったか","差分検出条件を1文で言えるか","社会課題最小条件表","課題数の拡張","広い社会性判定にしない"
3,"創造性・問題解決","教材化できる proxy を残す","差分軸が固定されたか","追試手順が1枚に残ったか","教材化単位を1文で言えるか","創造性 proxy 図","本質論の追加","創造性を測れたにしない"
3,"主観的経験の定量化","補助利用範囲を残す","自己評定尺度が固定されたか","対応安定条件が表に残ったか","補助利用範囲を1文で言えるか","自己評定対応表","主観尺度の追加","完全数値化にしない"
4,"意識の神経相関（NCC）定量化","候補指標比較を残す","状態境界条件が固定されたか","報告条件あり/なしが分かれたか","候補指標を1文で言えるか","NCC 候補比較図","理論比較の拡張","意識の正体解明にしない"
4,"意識状態の分類（覚醒/睡眠/麻酔/DoC）","benchmark 枠を守る","状態ラベルが固定されたか","外れ条件が残ったか","分類枠を1文で言えるか","状態分類 benchmark 表","臨床的主張の追加","診断代替にしない"
4,"統合情報理論(IIT)の実証的検証","近似 proxy 比較を残す","近似指標と計算条件が固定されたか","再現する差としない差が分かれたか","近似比較であることを1文で言えるか","IIT proxy 比較表","理論語の追加","完全検証にしない"
4,"Global Workspace Theory の検証","更新反応の条件差を残す","候補反応と比較軸が固定されたか","予測適合度が1表に残ったか","条件差を1文で言えるか","GWT 候補反応図","理論勝敗の議論","決着をつける話にしない"
4,"意識の連続性と同一性","安定成分と変動成分を残す","個人内比較条件が固定されたか","安定成分と変動成分が分かれたか","連続性の最小枠を1文で言えるか","個人内安定性比較図","本人性証明の話","本人確認技術にしない"
4,"mind-upload可能性の理論的枠組み","claim ladder の線引きを残す","支えられる範囲が固定されたか","空白領域が表に残ったか","評価軸を1文で言えるか","claim ladder 表","実現論の拡張","mind-upload 実現を語らない"
