phase,topic,inquiry_focus,inquiry_unit,keep_open_trigger,close_trigger,do_not_open,note_line,avoid_point
1,EEG信号品質の限界検証,QC条件にだけ返す導線をどう残すか,QC FAQ 1枚か連絡先1本,閾値条件への確認依頼が続く,QC閾値が固定され確認依頼も止まる,品質議論が高次解釈へ飛びやすい,品質論点への問い合わせはQC条件だけに絞って残す,品質から読心へ飛ばない
1,高密度EEG空間分解能評価,density条件にだけ返す導線をどう残すか,密度条件メモ1枚か連絡先1本,密度条件の再確認依頼が続く,空間条件が固定され再確認も止まる,局在証明の問い合わせ窓口に化ける,空間分解能の問い合わせは条件差分だけに絞って残す,局在完成の物語にしない
1,マルチモーダル統合の基礎,同期条件にだけ返す導線をどう残すか,同期条件FAQ 1枚か連絡先1本,同期条件の問い合わせが続く,統合条件が固定され再確認も止まる,統合万能論の窓口に化ける,統合の問い合わせは同期条件だけに限定して残す,統合万能論に戻らない
1,ノイズ除去・信号分離手法の比較,前処理既定値にだけ返す導線をどう残すか,前処理FAQ 1枚か連絡先1本,既定値候補への確認依頼が続く,前処理既定値が固定され問い合わせも止まる,最強手法ランキング窓口に化ける,前処理の問い合わせは既定値候補だけに絞って残す,最強法探しへ戻らない
1,長時間記録の安定性評価,usable window にだけ返す導線をどう残すか,安定区間FAQ 1枚か連絡先1本,運用区間への確認依頼が続く,再校正条件込みで区間が固定された,長時間記録万能論の窓口に化ける,長時間運用の問い合わせはusable windowだけに絞って残す,長時間夢想に戻らない
2,デコーディング精度ベンチマーク,benchmark条件にだけ返す導線をどう残すか,benchmark FAQ 1枚か連絡先1本,比較条件の問い合わせが続く,比較軸が固定され再確認も止まる,精度競争の宣伝窓口に化ける,benchmarkの問い合わせは比較条件だけに絞って残す,精度競争に戻らない
2,クロスデータセット汎化,gap原因にだけ返す導線をどう残すか,gap FAQ 1枚か連絡先1本,gap原因整理への確認依頼が続く,原因候補が固定され問い合わせも止まる,どこでも通用の相談窓口に化ける,汎化の問い合わせはgap原因だけに絞って残す,どこでも通用と語らない
2,リアルタイムデコーディング,遅延条件にだけ返す導線をどう残すか,遅延条件FAQ 1枚か連絡先1本,replay条件つきの遅延確認が続く,遅延条件が固定され再確認も止まる,true online 成功窓口に化ける,リアルタイム性の問い合わせは遅延条件だけに絞って残す,true online 成功談にしない
2,Foundation Modelの適用,限定利得にだけ返す導線をどう残すか,FM条件FAQ 1枚か連絡先1本,task別利得の確認依頼が続く,限定利得の条件が固定され問い合わせも止まる,基盤モデル万能論の窓口に化ける,FMの問い合わせは限定利得だけに絞って残す,基盤モデル万能論に戻らない
2,運動意図デコーディング,cross-subject差分にだけ返す導線をどう残すか,MI条件FAQ 1枚か連絡先1本,被験者差分への確認依頼が続く,差分条件が固定され問い合わせも止まる,操作一般知能の相談窓口に化ける,運動意図の問い合わせは被験者差分だけに絞って残す,操作一般知能の話へ飛ばない
2,感覚知覚デコーディング,成立条件にだけ返す導線をどう残すか,知覚条件FAQ 1枚か連絡先1本,P300 や SSVEP 条件の確認依頼が続く,刺激条件が固定され問い合わせも止まる,知覚全再構成の窓口に化ける,知覚系の問い合わせは成立条件だけに絞って残す,知覚全再構成の話にしない
2,言語/意味デコーディング,語彙条件にだけ返す導線をどう残すか,語彙条件FAQ 1枚か連絡先1本,語彙条件と成立上限の確認依頼が続く,語彙条件が固定され問い合わせも止まる,全文読心の相談窓口に化ける,言語系の問い合わせは語彙条件だけに絞って残す,全文読心の話へ飛ばない
3,感情状態の推定・分類,ラベル条件にだけ返す導線をどう残すか,感情ラベルFAQ 1枚か連絡先1本,ラベル条件の確認依頼が続く,ラベル限界が固定され問い合わせも止まる,感情断定の相談窓口に化ける,感情分類の問い合わせはラベル条件だけに絞って残す,感情断定の話にしない
3,記憶のエンコーディング/検索,encoding条件にだけ返す導線をどう残すか,記憶条件FAQ 1枚か連絡先1本,encoding/search 条件の確認依頼が続く,条件差分が固定され問い合わせも止まる,記憶内容読取りの窓口に化ける,記憶系の問い合わせは成立条件だけに絞って残す,記憶内容読取りの話へ飛ばない
3,注意・ワーキングメモリ,load差分にだけ返す導線をどう残すか,load条件FAQ 1枚か連絡先1本,負荷差分の確認依頼が続く,負荷条件が固定され問い合わせも止まる,全面監視の相談窓口に化ける,WM系の問い合わせはload差分だけに絞って残す,全面監視の話にしない
3,意思決定過程,段階差分にだけ返す導線をどう残すか,段階条件FAQ 1枚か連絡先1本,段階差分の確認依頼が続く,段階条件が固定され問い合わせも止まる,自由意思判定の窓口に化ける,意思決定の問い合わせは段階差分だけに絞って残す,自由意思判定の話へ飛ばない
3,社会的認知,task条件にだけ返す導線をどう残すか,social task FAQ 1枚か連絡先1本,課題依存性の確認依頼が続く,task条件が固定され問い合わせも止まる,他者理解の読取り窓口に化ける,社会認知の問い合わせはtask条件だけに絞って残す,心の読み過ぎ物語にしない
3,創造性・問題解決,proxy限界にだけ返す導線をどう残すか,proxy FAQ 1枚か連絡先1本,proxy限界の確認依頼が続く,proxy条件が固定され問い合わせも止まる,創造性測定器の窓口に化ける,創造性の問い合わせはproxy限界だけに絞って残す,創造性断定の話にしない
3,主観的経験の定量化,対応範囲にだけ返す導線をどう残すか,対応条件FAQ 1枚か連絡先1本,自己報告対応範囲の確認依頼が続く,対応条件が固定され問い合わせも止まる,主観直接読取りの窓口に化ける,主観経験の問い合わせは対応範囲だけに絞って残す,主観の直接読取りにしない
4,意識の神経相関（NCC）定量化,NCC候補条件にだけ返す導線をどう残すか,NCC FAQ 1枚か連絡先1本,候補条件の確認依頼が続く,候補差分が固定され問い合わせも止まる,意識の本質証明窓口に化ける,NCCの問い合わせは候補条件だけに絞って残す,本質証明の話にしない
4,意識状態の分類（覚醒/睡眠/麻酔/DoC）,state境界にだけ返す導線をどう残すか,state FAQ 1枚か連絡先1本,状態境界の確認依頼が続く,状態境界が固定され問い合わせも止まる,単一意識尺度の窓口に化ける,state分類の問い合わせは境界条件だけに絞って残す,単一尺度神話にしない
4,統合情報理論(IIT)の実証的検証,proxy限界にだけ返す導線をどう残すか,IIT proxy FAQ 1枚か連絡先1本,proxy限界の確認依頼が続く,proxy範囲が固定され問い合わせも止まる,理論決着の窓口に化ける,IITの問い合わせはproxy限界だけに絞って残す,理論決着を語らない
4,Global Workspace Theory の検証,workspace条件にだけ返す導線をどう残すか,GWT条件FAQ 1枚か連絡先1本,workspace proxy 条件の確認依頼が続く,条件差分が固定され問い合わせも止まる,GWT勝敗判定の窓口に化ける,GWTの問い合わせはworkspace条件だけに絞って残す,理論の勝敗表にしない
4,意識の連続性と同一性,連続性proxyにだけ返す導線をどう残すか,連続性proxy FAQ 1枚か連絡先1本,proxy有効域の確認依頼が続く,proxy条件が固定され問い合わせも止まる,人格同一性測定の窓口に化ける,連続性の問い合わせはproxy条件だけに絞って残す,人格同一性測定の話にしない
4,mind-upload可能性の理論的枠組み,EEG単独の非到達域にだけ返す導線をどう残すか,境界条件FAQ 1枚か連絡先1本,EEG単独の限界範囲への確認依頼が続く,境界条件が固定され問い合わせも止まる,mind-upload実証済み相談の窓口に化ける,理論枠組みの問い合わせは非到達域だけに絞って残す,実証済みの空気を作らない
