phase,topic,q1_goal,task_1,task_2,task_3,q1_deliverable,avoid_point
1,EEG信号品質の限界検証,品質閾値表を追加データ1本で更新して外部共有する,既存QC表を同条件で再生成する,失敗条件と除外条件を再確認する,更新版を短い共有メモとして外へ出す,品質閾値表更新版と共有メモ,品質から高次読取りへ飛ばない
1,高密度EEG空間分解能評価,電極密度比較図を更新して標準条件を再提示する,密度比較図を同条件で再生成する,頭打ち条件を短文で確認する,更新図と推奨設定表を共有する,密度比較図更新版と推奨設定表,局在技術の完成と語らない
1,マルチモーダル統合の基礎,限定課題1本で最小統合利得を再確認してまとめる,同期条件つき比較を再計算する,unimodal差と例外条件を確認する,最小統合利得メモを共有する,同期条件比較表と利得メモ,統合万能論にしない
1,ノイズ除去・信号分離手法の比較,前処理比較表の更新版をQ1で閉じる,既定値候補だけで比較表を更新する,失敗例を削らず残っているか確認する,更新版を短い実務メモつきで共有する,前処理比較表更新版と実務メモ,最強法探しへ戻らない
1,長時間記録の安定性評価,安定区間図を更新して再校正境目を再提示する,長時間条件1本で図を再生成する,崩れ始め地点を再確認する,更新図と運用メモを共有する,安定区間比較図更新版と運用メモ,完全追跡の話にしない
2,デコーディング精度ベンチマーク,共通baseline表を新規1データで更新して公開する,統一splitとmetricで再計算する,failure modeが残るか確認する,benchmark更新メモを共有する,共通baseline表更新版と更新メモ,最高精度競争に戻らない
2,クロスデータセット汎化,汎化gap表を共通ラベル空間だけで更新する,withinとacrossを同条件で再計算する,例外条件を増やしすぎていないか確認する,更新表と条件メモを共有する,汎化gap比較表更新版と条件メモ,どこでも通用と語らない
2,リアルタイムデコーディング,遅延と精度の折り合い図を低遅延条件1本で更新する,擬似リアルタイム条件で再計算する,誤警報率を再確認する,更新図と軽量運用メモを共有する,遅延精度折り合い図更新版と運用メモ,完成システムとして語らない
2,Foundation Modelの適用,転移比較表を追加評価1本で更新する,既存baseline上でOOD条件を再評価する,転移利得が再現されるか確認する,更新表を短い比較メモで共有する,表現転移比較表更新版と比較メモ,基盤モデル完成と言わない
2,運動意図デコーディング,被験者外baselineを更新してMIの実務基準を再提示する,被験者外条件で再計算する,session外との差を確認する,更新表を共有する,MI baseline表更新版と共有メモ,普遍的読取りにしない
2,感覚知覚デコーディング,限定知覚課題の比較表を1系統だけ更新する,ERPかSSVEPのどちらか1系統で再計算する,誤分類条件を確認する,更新表と短い注記を共有する,知覚課題比較表更新版と注記,知覚全体復元と書かない
2,言語/意味デコーディング,成立する最小単位の比較表を更新する,ラベル定義を固定して再計算する,思考読取りに見える表現を点検する,更新表と除外条件メモを共有する,最小単位比較表更新版と除外条件メモ,思考解読にしない
3,感情状態の推定・分類,粗い状態分類の比較表を更新して安全域を再提示する,主観ラベル軸そのままで再計算する,カテゴリ拡張を止められているか確認する,更新表と利用範囲メモを共有する,感情ラベル頑健性表更新版と利用範囲メモ,感情断定にしない
3,記憶のエンコーディング/検索,成績関連proxy表を更新して再現性を維持する,成功失敗軸で再計算する,内容読出しの表現を点検する,更新表と追試メモを共有する,記憶proxy比較表更新版と追試メモ,記憶内容を読む話にしない
3,注意・ワーキングメモリ,負荷proxy束をdrift条件つきで更新する,複数proxyを再計算する,単一スコア化していないか確認する,更新表とdriftメモを共有する,負荷proxy比較表更新版とdriftメモ,万能指標にしない
3,意思決定過程,proxyと除外解釈の表を小課題1本で更新する,比較図を同条件で再生成する,理論全体へ飛んでいないか確認する,更新表と除外解釈メモを共有する,意思決定proxy表更新版と除外解釈メモ,自由意志論へ流れない
3,社会的認知,最小共同課題の差分表を更新して小規模共有する,対象課題1本で再計算する,失敗条件が残るか確認する,更新表と追試案を共有する,社会課題最小条件表更新版と追試案,広い社会性判定にしない
3,創造性・問題解決,教材化できる差分proxyを追試1本で更新する,差分軸を維持して再計算する,追試手順が残るか確認する,更新図と教材注記を共有する,創造性proxy図更新版と教材注記,創造性そのものを測れたにしない
3,主観的経験の定量化,自己評定対応表を尺度固定のまま更新する,同じ尺度で再計算する,完全数値化の表現を点検する,更新表と利用範囲メモを共有する,自己評定対応表更新版と利用範囲メモ,経験の完全定量化と書かない
4,意識の神経相関（NCC）定量化,状態境界proxy候補表を条件固定で更新する,境界条件を固定して再計算する,正体解明の表現を点検する,更新表と条件メモを共有する,NCC候補比較図更新版と条件メモ,意識の正体解明としない
4,意識状態の分類（覚醒/睡眠/麻酔/DoC）,状態分類benchmark表を施設差込み1本で更新する,状態ラベルを固定して再計算する,診断代替の表現を点検する,更新表と外れ条件メモを共有する,状態分類benchmark表更新版と外れ条件メモ,臨床診断代替にしない
4,統合情報理論(IIT)の実証的検証,近似proxy比較表を状態差1本で更新する,近似指標と条件を固定して再計算する,完全検証の表現を点検する,更新表と条件メモを共有する,IIT proxy比較表更新版と条件メモ,理論証明にしない
4,Global Workspace Theory の検証,候補反応図を比較軸固定で更新する,候補反応を同条件で再計算する,勝敗表現を点検する,更新図と再現メモを共有する,GWT候補反応図更新版と再現メモ,理論の勝敗を決めたとしない
4,意識の連続性と同一性,個人内安定性図を状態遷移1本で更新する,安定成分と変動成分を再確認する,本人性表現を点検する,更新図とproxyメモを共有する,個人内安定性比較図更新版とproxyメモ,本人確認技術にしない
4,mind-upload可能性の理論的枠組み,claim ladderを不足要件更新1本で改訂する,支えられる範囲を再整理する,空白領域が残るか確認する,更新版と短い評価メモを共有する,claim ladder更新版と評価メモ,mind-upload実現を語らない
